Year,TFR,GFR
2016,1.79,61.7
2015,1.80,61.7
2014,1.82,61.6
2013,1.83,61.6
2012,1.92,64.1
2011,1.91,63.4
2010,1.92,63.4
2009,1.89,62.0
2008,1.96,63.3
2007,1.87,60.7
2006,1.82,59.1
2005,1.76,57.4
2004,1.77,57.7
2003,1.70,56.0
2002,1.63,54.1
2001,1.63,54.3
2000,1.64,55.4
1999,1.68,57.3
1998,1.71,58.8
1997,1.72,59.6
1996,1.73,60.2
1995,1.71,60.1
1994,1.74,61.6
1993,1.76,62.4
1992,1.79,63.4
1991,1.82,63.6
1990,1.83,64.0
1989,1.79,62.3
1988,1.82,63.1
1987,1.81,62.3
1986,1.78,61.0
1985,1.79,61.4
1984,1.77,60.3
1983,1.77,60.2
1982,1.78,60.6
1981,1.82,62.1
1980,1.90,64.9
1979,1.86,64.1
1978,1.75,60.8
1977,1.69,58.9
1976,1.74,61.3
1975,1.81,64.0
1974,1.92,68.0
1973,2.03,72.3
1972,2.20,77.8
1971,2.40,84.3
1970,2.44,
1969,2.51,
1968,2.61,
1967,2.69,
1966,2.80,
1965,2.88,
1964,2.95,
1963,2.90,
1962,2.87,
1961,2.78,
1960,2.71,
