Year,Immigration,Emmigration,Net Migration
1991,329,-285,44
1992,268,-281,-13
1993,266,-266,-1
1994,315,-238,77
1995,312,-236,76
1996,318,-264,55
1997,327,-279,48
1998,391,-251,140
1999,454,-291,163
2000,479,-321,158
2001,481,-309,179
2002,516,-363,172
2003,511,-363,185
2004,589,-344,268
2005,567,-361,267
2006,596,-398,265
2007,574,-341,273
2008,590,-427,229
2009,567,-368,229
2010,591,-339,256
2011,566,-351,205
2012,498,-321,177
2013,526,-317,209
2014,632,-319,313
2015,631,-299,332
2016,589,-340,249
